ffff95b994dc,ffffb5208328,ffffd5952bcd,fffff421f196
0004f145e576,00049efec47e,00044653f9b5,0003e12e50ac
000377413984,00031b4a22fb,0002c23bf574,000265c18392
00020756f389,0001a426d4b3,00013cb2ef0e,0000d515754c
000069c08b0a,fffff26851b6,ffff75adcd97,fffef2e61be8
fffe6dbb8115,fffdf1a3e98d,fffd76b012a8,fffcfdc5bbcb
fffc8417a341,fffbf9bffcd8,fffb692c6fbf,fffae103524d
fffa5ae66a4d,fff9cb0a039d,fff940839a02,fff8b3da0e60
fff833b1c0fe,fff7edc72ecc,fff7c533bc1b,fff7a8f610fc
fff79b59d9a2,fff79477df67,fff7946383cb,fff7a14f9e49
fff7b3b39c45,fff7b99c4918,fff7bda86080,fff7c5af5595
fff7d07999ff,fff7e12d63cc,fff7f6e3114f,fff80e0c5809
fff82991e5dd,fff8500028d8,fff87c13a713,fff8ae51a846
fff8e3cfb4d0,fff9136b93e2,fff9436e4eb7,fff973432d26
fff9a4fe598f,fff9e508494d,fffa2b53900e,fffa6bc40d72
fffaabda5a49,fffaf64a24d4,fffb3e024127,fffb88c8cb55
fffbcabad4fa,fffbdd857761,fffbd90d760b,fffbcdde5281
fffbb821f422,fffb9992590b,fffb767de5c3,fffb48972841
fffb18e038b0,fffb011440c6,fffaf19c7be1,fffade6cb366
fffacb6747f7,fffab99424c7,fffaa41922b5,fffa92b1d69b
fffa7bb0dedc,fffa44e76859,fffa00dd8403,fff9b2c0ae27
fff95fe17066,fff91d540761,fff8dd97d600,fff8a03b8232
fff8626fa6f1,fff80e48ac30,fff7b20bed84,fff764cc8c0c
fff71bb14ace,fff6c10a8990,fff66ed8348e,fff6196e7efb
fff5d87ea8b8,fff5f7f89569,fff6480a78d0,fff6a9d966a4
fff7232952ff,fff7abf91c5f,fff83f9ac051,fff8e98399b1
fff99a1a5b73,fffa27d3d641,fffaab8aae28,fffb364f4fc9
fffbc324301f,fffc53defacd,fffcec64253e,fffd818033a4
fffe1f95c834,fffee6b1c028,ffffbf41d869,0000a79eb3c1
000196c34fe1,00026ccfe23b,00033f0fa31d,00040c95cddc
