0007c5ffc2,fffb327750
fff9c3cfc6,fffa5a5434
fff5e2d920,fff80d793e
000fb6bdbd,0008b534b0
00166e2054,001a599281
0025ddf41f,001e040985
00225c0d60,001b273b88
001144bae5,00018b9711
fffd6ca724,fff4e68909
fff702f130,fff2bbadb1
fff8094074,fffe0dd9b6
000d84567a,000cc06350
00144795fd,001615eccd
001a6204bc,001fc066b1
001a9dcda5,00160a6e34
0014a98689,0005e50a2b
fffe15886d,fff9bcd7b7
fff6d4e57f,fff952ec5f
fff63ff45e,fffa1da74b
000ffa9f39,000fc244d9
0012dc3be5,001bfbb907
001a8791b1,002620c4b2
001cd8e832,0019bdcabb
00136c4505,000568dc97
ffff3387cf,ffee55799a
fff1c9e32f,ffff96df01
fff59a80a2,00008a3f64
0006014c61,0007aefffe
0011c301ca,0019d1e0c2
001dc8b5d4,0021636bda
0021e56e2e,0018022e43
000a41fd72,00091fcf3c
0005653b1a,fffa6db27d
ffff018f19,ffed91701c
fff6eab457,fff7b465c3
000789d24e,0009c72b2d
0011ff3834,001c5087f4
